Ref,Part,Value/Part Number,Package,Qty,Approx Cost,Notes
U1,STM32F103C8T6,STM32F103C8T6,LQFP-48,1,$2-3,"The ""Blue Pill"" MCU, 72MHz Cortex-M3, 64KB flash"
U2,BME280,BME280,LGA-8 (buy on breakout first),1,$2-6,Temp/humidity/pressure sensor, I2C
U3,LDO Regulator,AMS1117-3.3,SOT-223,1,$0.20,Regulates 5V USB input down to 3.3V logic
U4,USB-UART bridge,CP2102,QFN-28 (or use external USB-TTL cable),1,$1-3,Only needed if you want onboard USB; otherwise use an external USB-TTL adapter into a 4-pin header
Y1,Crystal,8MHz HC49,THT,1,$0.20,Main clock reference for STM32
Y2,Crystal (optional),32.768kHz,THT,1,$0.20,Only needed if you want RTC; skip for v1
C1-C2,Load capacitors,18-22pF ceramic,0603,2,$0.05,For Y1 crystal
C3-C6,Decoupling caps,100nF ceramic,0603,4,$0.10,One per VDD pin on STM32 + one on BME280
C7,Bulk cap,10uF ceramic/tantalum,0805,1,$0.15,On 3.3V rail
C8,Bulk cap,1uF ceramic,0603,1,$0.10,On regulator output
R1-R2,I2C pull-ups,4.7k,0603,2,$0.05,SCL/SDA pull-ups to 3.3V
R3,Reset pull-up,10k,0603,1,$0.05,NRST pull-up
R4,Boot0 pull-down,10k,0603,1,$0.05,Ties BOOT0 low for normal flash boot
SW1,Reset button,6mm tactile,THT,1,$0.10,
SW2,Boot0 button (optional),6mm tactile,THT,1,$0.10,Lets you enter DFU bootloader without a jumper
J1,SWD header,2x5 1.27mm or 4-pin 0.1in,THT,1,$0.30,For ST-Link programmer/debugger
J2,UART header,4-pin 0.1in,THT,1,$0.10,TX/RX/3.3V/GND for USB-TTL adapter (if not using onboard USB)
J3,I2C header (optional),4-pin 0.1in,THT,1,$0.10,SCL/SDA/3.3V/GND, handy if BME280 is off-board on a breakout while prototyping
J4,USB Micro-B,USB-B-Micro-SMD,SMD,1,$0.30,Power + optional USB-serial
LED1,Power LED,0603 LED,0603,1,$0.05,With 1k series resistor
LED2,Status LED,0603 LED,0603,1,$0.05,Toggled by firmware, with 1k series resistor
R5-R6,LED series resistors,1k,0603,2,$0.05,

TOTAL ESTIMATED COST (excluding programmer),,,,,~$8-15,ST-Link V2 clone programmer is a one-time ~$3-8 buy if you don't already have one
