millis,temp_c,pressure_hpa,humidity_pct
0,21.99,1012.99,44.97
5000,22.07,1012.99,44.52
10000,22.05,1012.97,44.88
15000,22.04,1012.99,45.27
20000,22.1,1012.98,44.67
25000,21.97,1012.98,45.26
30000,22.07,1012.96,45.0
35000,21.96,1012.94,44.96
40000,22.16,1012.94,44.9
45000,22.12,1012.98,44.43
50000,22.15,1012.86,43.95
55000,22.07,1012.88,44.97
60000,22.18,1012.86,44.94
65000,22.06,1012.91,44.57
70000,22.16,1012.95,44.83
75000,22.19,1012.93,44.75
80000,22.12,1012.86,44.44
85000,22.23,1012.88,45.26
90000,22.13,1012.83,44.76
95000,22.32,1012.9,44.75
100000,22.33,1012.86,44.05
105000,22.19,1012.91,44.02
110000,22.24,1012.87,44.33
115000,22.31,1012.88,45.1
120000,22.31,1012.81,44.2
125000,22.21,1012.88,44.18
130000,22.28,1012.87,44.1
135000,22.27,1012.73,43.97
140000,22.26,1012.84,44.63
145000,22.31,1012.82,44.29
150000,22.41,1012.85,44.3
155000,22.26,1012.84,44.31
160000,22.45,1012.79,44.75
165000,22.33,1012.86,44.17
170000,22.33,1012.72,44.07
175000,22.49,1012.81,44.29
180000,22.2,1012.8,44.23
185000,22.36,1012.73,44.03
190000,22.55,1012.7,43.88
195000,22.53,1012.72,43.87
200000,22.44,1012.68,44.02
205000,22.35,1012.78,43.93
210000,22.64,1012.74,44.32
215000,22.36,1012.71,43.98
220000,22.62,1012.63,44.15
225000,22.54,1012.78,44.04
230000,22.5,1012.67,43.43
235000,22.52,1012.68,44.38
240000,22.47,1012.7,43.28
245000,22.5,1012.69,43.97
250000,22.66,1012.67,43.37
255000,22.59,1012.69,43.82
260000,22.51,1012.72,43.68
265000,22.63,1012.72,43.81
270000,22.61,1012.76,43.67
275000,22.57,1012.65,44.02
280000,22.61,1012.66,43.91
285000,22.57,1012.54,43.61
290000,22.64,1012.59,43.76
295000,22.69,1012.57,43.63
300000,22.63,1012.54,43.58
305000,22.65,1012.57,43.58
310000,22.71,1012.57,43.52
315000,22.76,1012.56,43.49
320000,22.69,1012.7,42.79
325000,22.76,1012.56,43.29
330000,22.86,1012.57,43.97
335000,22.69,1012.59,43.12
340000,22.68,1012.56,43.16
345000,22.76,1012.45,43.82
350000,22.74,1012.64,42.89
355000,22.79,1012.7,42.91
360000,22.65,1012.51,43.29
365000,22.84,1012.59,43.04
370000,22.67,1012.5,43.47
375000,22.84,1012.42,43.06
380000,22.93,1012.62,43.22
385000,22.85,1012.44,42.77
390000,22.84,1012.52,43.17
395000,22.81,1012.44,42.74
400000,22.76,1012.52,42.25
405000,22.84,1012.5,43.38
410000,22.88,1012.52,42.78
415000,22.83,1012.43,43.33
420000,22.98,1012.49,43.85
425000,22.9,1012.49,42.92
430000,22.9,1012.57,43.25
435000,22.81,1012.42,42.91
440000,23.0,1012.37,42.08
445000,22.79,1012.43,42.7
450000,22.98,1012.39,42.34
455000,22.8,1012.44,42.79
460000,23.06,1012.45,42.6
465000,23.09,1012.4,42.43
470000,22.96,1012.37,41.96
475000,23.02,1012.41,42.47
480000,22.96,1012.41,43.07
485000,23.03,1012.36,42.36
490000,23.03,1012.31,42.47
495000,23.05,1012.46,42.77
500000,23.14,1012.33,42.67
505000,22.98,1012.38,42.57
510000,23.01,1012.45,42.59
515000,22.93,1012.38,42.27
520000,23.1,1012.37,42.49
525000,22.94,1012.28,42.58
530000,23.22,1012.43,42.86
535000,22.96,1012.36,41.72
540000,23.26,1012.33,41.93
545000,23.31,1012.35,41.69
550000,23.18,1012.27,42.26
555000,23.13,1012.37,41.78
560000,23.2,1012.39,41.94
565000,23.2,1012.3,41.95
570000,23.24,1012.29,41.85
575000,23.34,1012.32,42.06
580000,23.16,1012.23,42.46
585000,23.21,1012.29,42.01
590000,23.28,1012.26,42.27
595000,23.23,1012.3,42.22
600000,23.24,1012.21,41.72
605000,23.2,1012.2,42.24
610000,23.27,1012.32,42.64
615000,23.28,1012.16,41.82
620000,23.28,1012.15,41.83
625000,23.32,1012.2,41.66
630000,23.25,1012.31,41.82
635000,23.25,1012.19,42.13
640000,23.27,1012.23,42.04
645000,23.39,1012.27,41.63
650000,23.43,1012.15,41.66
655000,23.45,1012.23,41.75
660000,23.27,1012.21,41.54
665000,23.3,1012.15,41.78
670000,23.21,1012.19,41.74
675000,23.34,1012.22,41.85
680000,23.35,1012.13,41.85
685000,23.29,1012.14,41.43
690000,23.42,1012.16,41.61
695000,23.52,1012.16,41.49
700000,23.34,1012.18,41.72
705000,23.56,1012.1,41.55
710000,23.45,1012.12,41.52
715000,23.32,1012.16,41.69
720000,23.56,1012.23,41.38
725000,23.48,1012.11,42.03
730000,23.35,1012.13,40.99
735000,23.29,1012.0,41.0
740000,23.59,1012.05,41.32
745000,23.42,1012.12,41.04
750000,23.63,1012.04,41.12
755000,23.54,1012.08,41.75
760000,23.55,1012.02,41.14
765000,23.5,1012.11,41.4
770000,23.55,1012.11,41.11
775000,23.55,1012.07,41.7
780000,23.57,1012.04,40.91
785000,23.64,1012.02,41.31
790000,23.44,1012.1,40.78
795000,23.54,1012.09,40.76
800000,23.6,1012.04,40.84
805000,23.72,1012.11,40.53
810000,23.51,1012.07,40.71
815000,23.6,1012.03,41.29
820000,23.62,1012.02,40.83
825000,23.75,1011.99,41.15
830000,23.62,1012.01,40.97
835000,23.65,1011.95,41.24
840000,23.79,1012.01,41.2
845000,23.75,1012.04,41.06
850000,23.71,1012.03,40.97
855000,23.62,1011.98,40.36
860000,23.7,1012.0,41.28
865000,23.73,1012.02,40.89
870000,23.64,1011.9,40.58
875000,23.62,1011.99,40.79
880000,23.78,1011.96,41.15
885000,23.83,1011.92,40.73
890000,23.71,1011.87,41.0
895000,23.86,1011.94,40.63
900000,23.86,1011.82,40.81
905000,23.79,1011.91,41.16
910000,23.86,1011.92,40.69
915000,23.76,1011.9,40.31
920000,23.91,1011.97,40.92
925000,23.72,1012.02,41.26
930000,23.83,1011.87,40.39
935000,23.85,1011.86,40.62
940000,23.92,1011.83,41.21
945000,23.96,1011.84,40.17
950000,23.82,1011.84,40.5
955000,23.64,1011.88,41.1
960000,23.77,1011.87,40.09
965000,23.92,1011.87,41.11
970000,23.89,1011.86,40.67
975000,23.84,1011.81,40.58
980000,23.87,1011.88,40.58
985000,23.85,1011.88,40.98
990000,23.81,1011.95,40.36
995000,23.85,1011.98,40.47
1000000,24.02,1011.89,39.9
1005000,23.93,1011.82,39.98
1010000,23.79,1011.85,40.55
1015000,23.97,1011.82,40.11
1020000,23.86,1011.81,40.03
1025000,23.93,1011.83,40.05
1030000,23.94,1011.79,40.3
1035000,24.0,1011.83,40.43
1040000,23.84,1011.8,40.35
1045000,24.03,1011.73,40.3
1050000,24.08,1011.8,40.21
1055000,24.03,1011.82,40.43
1060000,24.0,1011.81,39.97
1065000,23.99,1011.86,40.13
1070000,24.0,1011.77,40.41
1075000,23.95,1011.84,39.88
1080000,23.94,1011.8,40.18
1085000,24.05,1011.84,40.01
1090000,24.07,1011.73,40.49
1095000,24.09,1011.8,40.16
1100000,23.99,1011.75,40.24
1105000,24.05,1011.77,39.66
1110000,24.07,1011.73,39.73
1115000,24.05,1011.67,40.25
1120000,24.14,1011.75,39.73
1125000,24.0,1011.75,39.28
1130000,24.1,1011.78,39.9
1135000,24.05,1011.75,40.09
1140000,24.18,1011.74,39.76
1145000,24.07,1011.75,40.42
1150000,24.08,1011.68,39.68
1155000,23.95,1011.75,39.52
1160000,24.02,1011.63,39.58
1165000,24.17,1011.66,39.37
1170000,24.15,1011.7,40.01
1175000,24.2,1011.72,39.48
1180000,24.13,1011.74,39.68
1185000,24.03,1011.77,39.72
1190000,24.12,1011.71,40.14
1195000,24.18,1011.69,40.02
1200000,24.34,1011.77,40.01
1205000,24.08,1011.89,39.43
1210000,24.15,1011.66,40.27
1215000,24.21,1011.62,39.85
1220000,24.23,1011.67,39.39
1225000,24.13,1011.66,39.75
1230000,24.16,1011.72,39.44
1235000,24.06,1011.64,40.12
1240000,24.16,1011.79,39.85
1245000,24.12,1011.63,39.76
1250000,24.12,1011.79,39.38
1255000,24.28,1011.74,39.63
1260000,24.15,1011.65,39.76
1265000,24.3,1011.66,39.22
1270000,24.24,1011.62,38.98
1275000,24.19,1011.58,39.79
1280000,24.4,1011.74,39.44
1285000,24.21,1011.68,39.91
1290000,24.22,1011.64,40.25
1295000,24.25,1011.62,39.61
1300000,24.31,1011.59,39.49
1305000,24.18,1011.62,40.11
1310000,24.33,1011.63,39.26
1315000,24.25,1011.68,39.36
1320000,24.4,1011.56,39.43
1325000,24.43,1011.53,39.86
1330000,24.14,1011.62,39.45
1335000,24.36,1011.46,38.91
1340000,24.26,1011.62,39.21
1345000,24.29,1011.56,39.35
1350000,24.24,1011.63,39.63
1355000,24.43,1011.58,39.35
1360000,24.32,1011.59,39.42
1365000,24.2,1011.63,39.15
1370000,24.25,1011.52,39.77
1375000,24.32,1011.66,39.49
1380000,24.2,1011.55,39.63
1385000,24.28,1011.54,39.34
1390000,24.33,1011.54,39.28
1395000,24.31,1011.46,39.52
1400000,24.28,1011.66,39.02
1405000,24.23,1011.65,38.88
1410000,24.31,1011.62,39.25
1415000,24.23,1011.59,39.28
1420000,24.47,1011.61,40.24
1425000,24.24,1011.58,39.0
1430000,24.46,1011.62,39.54
1435000,24.31,1011.54,38.69
1440000,24.51,1011.6,39.22
1445000,24.46,1011.61,39.58
1450000,24.25,1011.53,39.34
1455000,24.42,1011.62,38.97
1460000,24.4,1011.68,39.47
1465000,24.46,1011.56,39.48
1470000,24.54,1011.57,39.61
1475000,24.33,1011.59,39.51
1480000,24.34,1011.61,39.03
1485000,24.34,1011.56,39.8
1490000,24.43,1011.6,39.0
1495000,24.42,1011.49,39.04
1500000,24.48,1011.55,39.64
1505000,24.4,1011.54,39.58
1510000,24.37,1011.47,39.58
1515000,24.46,1011.44,39.2
1520000,24.39,1011.63,38.96
1525000,24.38,1011.5,38.86
1530000,24.37,1011.47,38.86
1535000,24.3,1011.47,38.69
1540000,24.39,1011.5,38.79
1545000,24.48,1011.53,39.02
1550000,24.4,1011.62,39.21
1555000,24.48,1011.4,38.94
1560000,24.27,1011.51,39.24
1565000,24.39,1011.56,38.82
1570000,24.5,1011.45,39.04
1575000,24.49,1011.56,39.08
1580000,24.61,1011.51,38.97
1585000,24.24,1011.61,38.99
1590000,24.36,1011.59,39.47
1595000,24.47,1011.45,39.22
1600000,24.41,1011.46,39.4
1605000,24.29,1011.55,39.22
1610000,24.63,1011.54,38.46
1615000,24.4,1011.52,39.18
1620000,24.55,1011.42,38.97
1625000,24.55,1011.59,39.63
1630000,24.44,1011.57,39.58
1635000,24.57,1011.55,39.31
1640000,24.41,1011.44,39.35
1645000,24.45,1011.51,38.88
1650000,24.45,1011.52,38.74
1655000,24.49,1011.52,39.02
1660000,24.42,1011.55,39.61
1665000,24.43,1011.57,39.31
1670000,24.27,1011.47,38.85
1675000,24.55,1011.52,39.18
1680000,24.54,1011.46,38.81
1685000,24.39,1011.5,38.99
1690000,24.5,1011.47,39.3
1695000,24.56,1011.58,39.24
1700000,24.51,1011.54,39.21
1705000,24.44,1011.57,39.54
1710000,24.65,1011.51,39.12
1715000,24.53,1011.5,39.2
1720000,24.48,1011.49,39.54
1725000,24.51,1011.51,39.28
1730000,24.51,1011.52,38.99
1735000,24.4,1011.5,38.67
1740000,24.51,1011.44,39.28
1745000,24.56,1011.52,38.98
1750000,24.53,1011.4,38.68
1755000,24.49,1011.52,38.98
1760000,24.42,1011.51,38.87
1765000,24.41,1011.52,38.94
1770000,24.59,1011.53,39.22
1775000,24.53,1011.46,38.72
1780000,24.38,1011.64,38.68
1785000,24.48,1011.48,38.92
1790000,24.45,1011.41,38.7
1795000,24.39,1011.49,38.79
1800000,24.45,1011.51,38.83
1805000,24.57,1011.48,39.07
1810000,24.39,1011.53,38.88
1815000,24.53,1011.52,38.95
1820000,24.52,1011.48,39.4
1825000,24.57,1011.52,38.65
1830000,24.41,1011.47,38.93
1835000,24.53,1011.46,39.36
1840000,24.5,1011.4,38.86
1845000,24.29,1011.46,38.84
1850000,24.45,1011.49,38.89
1855000,24.45,1011.58,39.37
1860000,24.41,1011.56,38.52
1865000,24.43,1011.58,38.34
1870000,24.54,1011.44,38.97
1875000,24.48,1011.59,38.77
1880000,24.49,1011.54,38.94
1885000,24.43,1011.5,39.04
1890000,24.56,1011.46,38.88
1895000,24.52,1011.5,38.97
1900000,24.49,1011.47,38.78
1905000,24.52,1011.45,39.37
1910000,24.51,1011.44,39.11
1915000,24.5,1011.55,39.38
1920000,24.46,1011.47,38.85
1925000,24.41,1011.47,39.12
1930000,24.49,1011.49,38.82
1935000,24.51,1011.49,38.73
1940000,24.47,1011.5,38.72
1945000,24.55,1011.55,39.06
1950000,24.49,1011.54,39.04
1955000,24.55,1011.6,39.08
1960000,24.51,1011.56,38.96
1965000,24.38,1011.56,38.59
1970000,24.62,1011.56,39.12
1975000,24.47,1011.61,38.79
1980000,24.38,1011.49,39.0
1985000,24.39,1011.53,39.12
1990000,24.4,1011.6,38.66
1995000,24.36,1011.54,39.02
2000000,24.5,1011.49,38.78
2005000,24.41,1011.49,39.25
2010000,24.42,1011.56,39.28
2015000,24.54,1011.57,39.34
2020000,24.52,1011.5,39.03
2025000,24.31,1011.54,38.91
2030000,24.48,1011.56,38.71
2035000,24.37,1011.51,38.97
2040000,24.46,1011.48,39.15
2045000,24.31,1011.43,39.35
2050000,24.34,1011.51,38.72
2055000,24.33,1011.52,39.02
2060000,24.51,1011.56,39.08
2065000,24.49,1011.6,39.28
2070000,24.4,1011.59,39.7
2075000,24.48,1011.63,39.45
2080000,24.49,1011.49,38.84
2085000,24.42,1011.46,39.01
2090000,24.49,1011.51,39.35
2095000,24.31,1011.52,39.5
2100000,24.43,1011.57,39.72
2105000,24.52,1011.51,39.61
2110000,24.36,1011.55,39.22
2115000,24.49,1011.5,39.36
2120000,24.45,1011.6,39.17
2125000,24.48,1011.52,39.58
2130000,24.43,1011.49,39.37
2135000,24.41,1011.55,39.03
2140000,24.37,1011.49,39.77
2145000,24.3,1011.53,39.61
2150000,24.43,1011.61,39.73
2155000,24.36,1011.52,39.54
2160000,24.44,1011.56,38.91
2165000,24.47,1011.6,38.89
2170000,24.43,1011.51,39.17
2175000,24.28,1011.55,39.07
2180000,24.31,1011.62,39.42
2185000,24.41,1011.64,39.22
2190000,24.36,1011.61,39.86
2195000,24.42,1011.66,39.66
2200000,24.43,1011.5,39.63
2205000,24.36,1011.6,39.21
2210000,24.31,1011.62,39.63
2215000,24.22,1011.61,39.22
2220000,24.26,1011.62,39.3
2225000,24.28,1011.56,39.49
2230000,24.33,1011.55,39.17
2235000,24.31,1011.63,39.11
2240000,24.36,1011.57,40.26
2245000,24.24,1011.57,39.5
2250000,24.24,1011.66,40.0
2255000,24.27,1011.63,39.31
2260000,24.3,1011.69,39.75
2265000,24.22,1011.7,39.84
2270000,24.33,1011.59,39.52
2275000,24.22,1011.65,39.41
2280000,24.11,1011.68,39.58
2285000,24.37,1011.63,39.59
2290000,24.36,1011.65,39.63
2295000,24.53,1011.63,39.6
2300000,24.4,1011.6,39.25
2305000,24.15,1011.67,39.76
2310000,24.32,1011.58,39.89
2315000,24.35,1011.64,39.61
2320000,24.3,1011.67,39.8
